stars,text,publishedAtDate
1,"Saya datang dengan ekspektasi tinggi untuk menikmati ramen yang lezat, namun sayangnya pengalaman yang saya dapatkan jauh dari harapan. Ketika ramen disajikan, aroma kuahnya langsung terasa tidak biasa—cukup aneh dan mengganggu selera. Setelah saya cicipi, rasanya pun tidak seperti ramen pada umumnya; terasa aneh, tidak segar, dan membuat kami khawatir soal kebersihannya.
 
 Karena khawatir akan berdampak pada kesehatan, kami hanya mencicipi sedikit dan memutuskan untuk tidak melanjutkan. Seperti terlihat pada foto yang saya unggah, sebagian besar makanan masih utuh dan tidak tersentuh.
 
 Hal yang juga cukup mengecewakan adalah tidak adanya inisiatif dari staf untuk menanyakan alasan mengapa makanan kami tidak dimakan saat proses pembayaran. Padahal, hal ini bisa menjadi masukan penting bagi perbaikan ke depannya.
 
 Sayang sekali, karena saya datang dengan niat menikmati, namun pulang dengan rasa kecewa.",2025-09-03T15:51:11.742Z
5,,
5,,
5,,
5,,
1,"Pesanan cuma 2 menu aja tapi lama banget prosesnya, padahal resto juga sepi gak terlalu rame2 banget",2025-11-14T10:06:01.033Z
5,,
1,Kenapa kalo online lama bener,2025-11-13T10:03:39.026Z
5,,
5,,
5,,
5,,
5,,
1,TOLONG STAF NYA HARUS LEBIH TELITI LAGI!!!!! .,2025-11-16T15:41:15.490Z
1,"Sering bngt makan sni dan biasa pelayanan bagus, tp di waktu pakai pakaian yg biasa aja dtg makan kyk lsg jelek bngt pelayannnya, biasa ad pekenalan diri dan atraksi trus ad menjelaskan tntnag makanan, ikan yg biasa org gk suka kulit pst d tawarin goreng kriuk, tp bsrusan dpt pelayanan super jelek, koki cuek, gk ad interaksi, dan parahnya , gw dtg dluan tp dia lsg layanin meja lain tanpa ijin ! Padahal biasanya stiap koki yg pegang pst ad ijin dlu,, minus attidud , ke sini pengen dpt pengalaman menikmati makanan yang seru malah dpt zonk , pdahal biasa bagus, total udh dtg dlm setahun ad 10 kali, terakhir ini paling kecewa dan tidqk akan dtg lagi",2025-09-21T11:47:25.185Z
5,,
1,,2025-07-31T11:41:06.381Z
4,,
5,,
1,Bau banget restorannya. Bau toilet. Sambil makan sambil cium bau toilet kek bau bangkai tikus gt yang menyengat. Makanan juga tidak istimewa banget.,2024-04-25T07:54:40.534Z
1,JOROK BANGET ADA KECOAKNYA DAN PELAYANAN KURANG AJAR YAITU PELAYAN BERNAMA TANTE ERNA. SEMBARANGAN PANGGIL DAN KURANG AJAR LALU TIDAK MINTA MAAF,2025-11-03T06:52:17.421Z
1,"Kejadian Minggu, 8 Sept 12:15.
 
 Kafe di luar, resto di dalam. Resto tidak menjual menu kopi di luar.
 
 Yang kami lakukan hanya beli kopi di luar lalu mau makan di resto.
 Biasanya oleh staff lainnya selalu diperbolehkan dengan memberikan paperbag.
 
 Kali ini Tidak diperbolehkan oleh barista pria. Tidak ada cara apapun, pokoknya tidak boleh ke area resto sambil membawa kopi kami.
 
 Staff menjelaskan dengan cara tidak baik, penyampaian yang tidak ramah.
 
 Ditanya kembali malah tidak mengacuhkan.
 
 Setelah selesai, kopi akhirnya diberikan dengan paperbag dan diijinkan dibawa masuk.
 
 Lucu aja apa perlu dikomplain dulu baru dikasi ijin?
 
 Atau kalau ga menunya jual juga skalian di resto. Anehh..",2024-09-08T05:34:36.798Z
5,,
1,"SEBELUM SAYA ULAS SOAL MAKANAN,LAYANAN,SUASANA,, ITU GIMANA SOAL PERTANYAAN SAYA YG PB1 YANG DIKENAKAN KEPADA SAYA TIDAK 10 % TAPI 10,5 %? UDAH SAYA TANYA LEWAT JALUR WA, TAPI GAK DIRESPONSE,, MANAJEMEN TORI.CO MAU SAYA LEWAT JALUR MANA? OVERALL TORI.CO SANGAT BURUK,,",2025-10-06T08:55:11.386Z
1,"Parah bener...pesan makan, datang > 30 menit, eh makanan org lain yg pesan belakangan malah datang duluan. Makanan ada yg tidak datang, eh ternyata tidak terinput (sia sia menunggu > 30 menit). Makanan kurang enak, namun minuman yakult berry enak.",2025-11-23T06:29:36.036Z
1,Wedang rondenya berasa lada. Habis minum perut jd agak mulas.,
5,,
1,"Disini karena memang lagi cari cafe untuk buka kerjaan. I thought kalo konsep cafe itu bisa berapa jam, tp ternyata kurang lebih 4 jam sudah diminta keluar. Dari sisi saya, cafe ini hanya bagus untuk tujuan foto2 saja. Memang saya di tegur sangat sopan, but still awalnya happy karena tempatnya nyaman dan cantik tp jd unpleasant memory dan sptnya tidak akan datang lagi karena kejadian hari ini. Bagi saya cafe ini tidak di rekomendasikan bagi yang segmen nya pekerja WFC.",2025-11-22T14:03:54.164Z
5,,
5,,
5,,
1,Ruang VIP bocor,2025-10-22T13:49:30.966Z
5,,
1,,2025-09-24T20:21:02.340Z
1,"Saat datang rombongan disambut dengan baik dan ramah, tapi saat datang berdua dicuekin, yang datang ke sana kan tentu bawa uang, perlakuannya ko agak-agak beda, lebih enak makan di mall gak ada diskriminasi semua pelanggan dipandang sama, untuk rasa makanan tergantung selera masing-masing tapi untuk saya rasanya biasa saja",2025-11-29T02:58:43.816Z
1,"Lontong cap gomehnya, kirain bau doang ,malah bikin diare dong",2025-11-30T10:11:45.752Z
5,,
1,kari nya dingin.... hargesegitu pula... kckckckck,2025-11-30T14:04:21.656Z
5,,
1,Lemot jdi kapok wkwkwk,2025-01-23T03:44:34.846Z
1,"Expensive!
 Americano 46 + tax
 Latte 48 + tax
 Green mung bean ice 39 + tax
 Lots of mosquitoes (outdoor)
 Indoor area feels stuffy.
 The taste isn’t special — just standard and doesn’t match the price or the comfort of the place.",2025-11-23T05:16:03.560Z
5,,
1,Meskipun pelayanannya banyak tp antriannya gak teratur dan gak berurutan dengan baik.,2025-11-20T04:45:52.577Z
4,,
1,Liat di Google tutupnya jam 21:00 tapi pas dateng 20:35 pegawainya udh selesai beres” ini emang tutup nya karna bahannya udh abis atau emang pegawainya mau pulang cepet ajah?,2025-11-13T14:06:15.004Z
5,Okay utk keluarga,
1,Lama lelet bikin nya.,2025-06-08T12:09:49.620Z
1,"Tumis sayur bunga pepayanya tidak segar sudah hitam dan layu sekali, spt sudah di panaskan berkali2, kemudian bebek wokunya kurang enak menurut saya condong manis spt bumbu bebek madura,di bebeknya ada jeroan bebek yaitu hati, pesan pisang gorengnya kurang enak.",2024-11-09T10:26:25.080Z
5,,
1,Resto lama padahal udah dicensel2 parah,2025-09-09T05:51:37.801Z
1,Ga ada koordinasi antara admin dan dapur. Ga rekomen !!!,2025-03-15T07:30:55.726Z
